Movie Title,Genre,IMDB Rating,Release Year,Director,Lead Star Cast,Synopsis
Glass Onion,Thriller,7.9,1996,Patty Jenkins,Viola Davis,An intense Thriller drama that keeps you on the edge of your seat.
Looper,Drama,5.9,1999,M. Night Shyamalan,Hugh Jackman,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Brave,Comedy,5.1,1983,Francis Ford Coppola,Angelina Jolie,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
Dumbo,Comedy,9.5,2007,J.J. Abrams,Brad Pitt,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
The Cabin in the Woods,Sci-Fi,9.4,1993,Spike Lee,Ryan Gosling,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
The Fly,Fantasy,5.5,1991,George Lucas,Daniel Day-Lewis,A thought-provoking Fantasy film that challenges perceptions of reality.
Harry Potter and the Chamber of Secrets,Comedy,7.4,1980,Peter Jackson,Tom Cruise,An intense Comedy drama that keeps you on the edge of your seat.
Moon,Thriller,6.2,2008,Steven Spielberg,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
Ratatouille,Thriller,5.4,1986,Taika Waititi,Chris Pratt,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
The Sixth Sense,Drama,5.9,2024,Taika Waititi,Charlize Theron,A thought-provoking Drama film that challenges perceptions of reality.
The King's Man,Thriller,5.0,1992,Quentin Tarantino,Margot Robbie,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
E.T. the Extra-Terrestrial,Thriller,8.9,2013,Wes Anderson,Will Smith,A mesmerizing Thriller story that explores the depths of human emotions and resilience.
The Conjuring,Horror,7.1,1994,J.J. Abrams,Matt Damon,A mesmerizing Horror story that explores the depths of human emotions and resilience.
Dune,Action,9.0,2004,Greta Gerwig,Leonardo DiCaprio,An intense Action drama that keeps you on the edge of your seat.
Dumbo,Sci-Fi,8.0,2014,M. Night Shyamalan,Denzel Washington,A mesmerizing Sci-Fi story that explores the depths of human emotions and resilience.
The Shining,Drama,5.7,2019,Stanley Kubrick,Angelina Jolie,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Harry Potter and the Sorcerer's Stone,Drama,9.4,2014,Damien Chazelle,Gal Gadot,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Children of Men,Sci-Fi,5.9,2003,Zack Snyder,Daniel Day-Lewis,An intense Sci-Fi drama that keeps you on the edge of your seat.
The Hateful Eight,Romance,6.0,1981,Denis Villeneuve,Ryan Gosling,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
Close Encounters of the Third Kind,Action,8.2,1993,James Cameron,Natalie Portman,An intense Action drama that keeps you on the edge of your seat.
Edge of Tomorrow,Action,8.3,2001,Francis Ford Coppola,Denzel Washington,"A gripping tale of adventure and mystery, following a Action journey like never before."
Harry Potter and the Goblet of Fire,Comedy,5.7,2011,Stanley Kubrick,Anne Hathaway,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Ratatouille,Drama,7.4,1986,Alfred Hitchcock,Will Smith,A thought-provoking Drama film that challenges perceptions of reality.
Looper,Romance,6.7,2022,Steven Spielberg,Jennifer Lawrence,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
No Country for Old Men,Adventure,6.5,2019,Christopher Nolan,Jennifer Lawrence,A blockbuster Adventure masterpiece featuring a star-studded cast and breathtaking action sequences.
The Thing,Drama,8.0,2010,Greta Gerwig,Keanu Reeves,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
The Blair Witch Project,Drama,7.1,2024,Robert Zemeckis,Daniel Day-Lewis,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Paranormal Activity,Horror,9.0,2003,Taika Waititi,Anne Hathaway,A thought-provoking Horror film that challenges perceptions of reality.
Speed Racer,Action,6.8,1998,Stanley Kubrick,Jake Gyllenhaal,A mesmerizing Action story that explores the depths of human emotions and resilience.
John Wick,Horror,8.9,1995,Guy Ritchie,Jennifer Lawrence,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Harry Potter and the Deathly Hallows: Part 1,Thriller,7.4,2004,Christopher Nolan,Jennifer Lawrence,A thought-provoking Thriller film that challenges perceptions of reality.
Gravity,Fantasy,6.9,2010,Robert Zemeckis,Denzel Washington,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Speed Racer,Adventure,8.4,2017,Taika Waititi,Angelina Jolie,An intense Adventure drama that keeps you on the edge of your seat.
American Psycho,Horror,6.9,2019,Guillermo del Toro,Charlize Theron,A thought-provoking Horror film that challenges perceptions of reality.
Marriage Story,Animation,5.6,1994,Damien Chazelle,Charlize Theron,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments."
Blade Runner 2049,Animation,7.0,2011,Patty Jenkins,Michael Fassbender,A mesmerizing Animation story that explores the depths of human emotions and resilience.
The Incredibles 2,Romance,5.1,2024,Martin Scorsese,Joaquin Phoenix,"A thrilling mix of Romance and action, packed with stunning visuals and unforgettable moments."
Wonder Woman,Thriller,6.7,2004,David Fincher,Chris Pratt,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Encanto,Drama,8.3,2010,Paul Thomas Anderson,Charlize Theron,An intense Drama drama that keeps you on the edge of your seat.
Kingsman: The Golden Circle,Animation,7.3,2019,Paul Thomas Anderson,Chris Pratt,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Wanted,Fantasy,7.2,1982,Zack Snyder,Benedict Cumberbatch,A mesmerizing Fantasy story that explores the depths of human emotions and resilience.
Big Hero 6,Romance,6.5,1984,Patty Jenkins,Denzel Washington,A thought-provoking Romance film that challenges perceptions of reality.
Django Unchained,Animation,5.8,2000,Bryan Singer,Emma Stone,An intense Animation drama that keeps you on the edge of your seat.
Heat,Thriller,5.9,2020,Taika Waititi,Anne Hathaway,"A gripping tale of adventure and mystery, following a Thriller journey like never before."
2001: A Space Odyssey,Animation,7.0,2003,Damien Chazelle,Chris Hemsworth,An intense Animation drama that keeps you on the edge of your seat.
E.T. the Extra-Terrestrial,Adventure,8.0,2008,Coen Brothers,Jake Gyllenhaal,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
Up,Fantasy,5.6,2000,Zack Snyder,Anne Hathaway,A thought-provoking Fantasy film that challenges perceptions of reality.
The Flash,Action,8.5,2009,Robert Zemeckis,Scarlett Johansson,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
The Exorcist,Comedy,8.3,2009,George Lucas,Will Smith,An intense Comedy drama that keeps you on the edge of your seat.
American Psycho,Action,9.3,2000,James Cameron,Natalie Portman,A mesmerizing Action story that explores the depths of human emotions and resilience.
Wall-E,Drama,9.0,2006,Denis Villeneuve,Matt Damon,A mesmerizing Drama story that explores the depths of human emotions and resilience.
Snow White and the Seven Dwarfs,Sci-Fi,5.1,1982,Steven Spielberg,Benedict Cumberbatch,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Annabelle,Sci-Fi,7.0,1987,Greta Gerwig,Natalie Portman,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Speed Racer,Romance,9.1,2018,Wes Anderson,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
John Wick: Chapter 3 – Parabellum,Comedy,6.8,1996,J.J. Abrams,Viola Davis,"A thrilling mix of Comedy and action, packed with stunning visuals and unforgettable moments."
I Am Legend,Comedy,6.5,1993,Steven Spielberg,Christian Bale,An intense Comedy drama that keeps you on the edge of your seat.
Morbius,Thriller,8.9,2001,Taika Waititi,Margot Robbie,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
The Martian,Action,6.9,2009,Christopher Nolan,Johnny Depp,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
Atlantis: The Lost Empire,Adventure,7.2,1986,Damien Chazelle,Jake Gyllenhaal,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
The Martian,Romance,6.3,2009,Greta Gerwig,Angelina Jolie,A thought-provoking Romance film that challenges perceptions of reality.
Aquaman,Action,7.1,2016,Zack Snyder,Daniel Day-Lewis,A mesmerizing Action story that explores the depths of human emotions and resilience.
Gravity,Animation,5.8,1996,George Lucas,Benedict Cumberbatch,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments."
Sherlock Holmes,Horror,8.1,1986,Ridley Scott,Benedict Cumberbatch,A mesmerizing Horror story that explores the depths of human emotions and resilience.
X-Men: Apocalypse,Drama,8.0,1983,J.J. Abrams,Chris Hemsworth,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Annabelle,Horror,9.1,2014,Robert Zemeckis,Chris Pratt,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
I Am Legend,Sci-Fi,6.3,1992,Zack Snyder,Keanu Reeves,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
The Hitman's Wife's Bodyguard,Fantasy,5.2,2002,Zack Snyder,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Fantasy world of intrigue."
Frozen,Animation,7.4,2019,Spike Lee,Angelina Jolie,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Pacific Rim,Romance,8.0,2010,Quentin Tarantino,Scarlett Johansson,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
The Hitman's Bodyguard,Animation,5.6,2012,Tim Burton,Brad Pitt,"A thrilling mix of Animation and action, packed with stunning visuals and unforgettable moments."
Gone Girl,Fantasy,7.7,2006,Robert Zemeckis,Brad Pitt,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
The Hitman's Bodyguard,Animation,6.4,2020,Tim Burton,Denzel Washington,An intense Animation drama that keeps you on the edge of your seat.
Annabelle,Horror,7.5,2006,Martin Scorsese,Scarlett Johansson,An intense Horror drama that keeps you on the edge of your seat.
A Bug's Life,Comedy,7.5,2016,Jon Favreau,Denzel Washington,An intense Comedy drama that keeps you on the edge of your seat.
Toy Story,Animation,6.6,2017,Guillermo del Toro,Johnny Depp,A thought-provoking Animation film that challenges perceptions of reality.
Extraction,Sci-Fi,6.7,2020,Bryan Singer,Anne Hathaway,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
The Terminator,Romance,6.0,1983,Spike Lee,Johnny Depp,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
Fight Club,Sci-Fi,7.1,2019,Guillermo del Toro,Viola Davis,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
The Departed,Animation,6.9,1999,Stanley Kubrick,Keanu Reeves,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Titanic,Comedy,8.4,1987,Tim Burton,Anne Hathaway,"A classic tale of love, loss, and redemption, set in a Comedy world of intrigue."
Joker,Sci-Fi,6.4,1986,Paul Thomas Anderson,Michael Fassbender,An intense Sci-Fi drama that keeps you on the edge of your seat.
Hancock,Drama,7.9,1998,Wes Anderson,Viola Davis,An intense Drama drama that keeps you on the edge of your seat.
Fantastic Four,Animation,5.0,2017,Paul Thomas Anderson,Matt Damon,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Harry Potter and the Deathly Hallows: Part 1,Drama,8.5,1987,James Cameron,Scarlett Johansson,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Schindler's List,Animation,9.5,2020,Guillermo del Toro,Angelina Jolie,"A gripping tale of adventure and mystery, following a Animation journey like never before."
Wreck-It Ralph,Action,7.6,1989,Taika Waititi,Gal Gadot,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
Aquaman,Thriller,7.1,1999,Peter Jackson,Natalie Portman,A thought-provoking Thriller film that challenges perceptions of reality.
Halloween,Action,7.3,1981,Coen Brothers,Johnny Depp,A blockbuster Action masterpiece featuring a star-studded cast and breathtaking action sequences.
Harry Potter and the Chamber of Secrets,Romance,9.0,2011,Steven Spielberg,Will Smith,A thought-provoking Romance film that challenges perceptions of reality.
The Irishman,Drama,7.8,2010,Greta Gerwig,Christian Bale,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Zombieland,Horror,8.1,1983,Ridley Scott,Chris Pratt,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
The Godfather,Animation,6.3,2009,Robert Zemeckis,Daniel Day-Lewis,A blockbuster Animation masterpiece featuring a star-studded cast and breathtaking action sequences.
Us,Romance,9.4,1999,Taika Waititi,Gal Gadot,A thought-provoking Romance film that challenges perceptions of reality.
Life,Horror,7.7,1987,Quentin Tarantino,Viola Davis,"A classic tale of love, loss, and redemption, set in a Horror world of intrigue."
Se7en,Drama,7.8,2024,Peter Jackson,Michael Fassbender,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Hereditary,Horror,5.4,2001,Jon Favreau,Leonardo DiCaprio,"A thrilling mix of Horror and action, packed with stunning visuals and unforgettable moments."
The Greatest Showman,Adventure,8.3,1982,Christopher Nolan,Tom Cruise,An intense Adventure drama that keeps you on the edge of your seat.
Interstellar,Fantasy,6.8,1988,Ridley Scott,Michael Fassbender,A blockbuster Fantasy masterpiece featuring a star-studded cast and breathtaking action sequences.
Treasure Planet,Sci-Fi,7.0,2005,Alfred Hitchcock,Robert Downey Jr.,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
World War Z,Drama,7.7,2020,David Fincher,Angelina Jolie,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Carrie,Fantasy,9.0,1986,J.J. Abrams,Matt Damon,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Wonder Woman,Drama,8.7,2003,George Lucas,Jennifer Lawrence,"A gripping tale of adventure and mystery, following a Drama journey like never before."
Venom,Action,5.2,1999,Damien Chazelle,Angelina Jolie,A thought-provoking Action film that challenges perceptions of reality.
Birds of Prey,Action,8.5,1997,Coen Brothers,Daniel Day-Lewis,"A classic tale of love, loss, and redemption, set in a Action world of intrigue."
A Bug's Life,Thriller,8.4,1997,Wes Anderson,Robert Downey Jr.,"A thrilling mix of Thriller and action, packed with stunning visuals and unforgettable moments."
Birds of Prey,Adventure,8.7,1998,Martin Scorsese,Christian Bale,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
Jaws,Comedy,6.3,1986,James Cameron,Emma Stone,A thought-provoking Comedy film that challenges perceptions of reality.
The Godfather,Drama,9.4,2001,Robert Zemeckis,Denzel Washington,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
Kingsman: The Golden Circle,Sci-Fi,8.3,2015,Damien Chazelle,Keanu Reeves,A blockbuster Sci-Fi masterpiece featuring a star-studded cast and breathtaking action sequences.
Sunshine,Thriller,5.0,2012,George Lucas,Hugh Jackman,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
The Nun,Thriller,5.3,1994,George Lucas,Natalie Portman,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
Sinister,Drama,6.3,1990,Zack Snyder,Leonardo DiCaprio,"A classic tale of love, loss, and redemption, set in a Drama world of intrigue."
Red Notice,Romance,6.0,1991,Stanley Kubrick,Anne Hathaway,"A gripping tale of adventure and mystery, following a Romance journey like never before."
Hereditary,Thriller,7.5,1988,Peter Jackson,Margot Robbie,"A classic tale of love, loss, and redemption, set in a Thriller world of intrigue."
The Departed,Action,8.1,1997,Alfred Hitchcock,Jake Gyllenhaal,"A thrilling mix of Action and action, packed with stunning visuals and unforgettable moments."
John Wick,Romance,6.5,2023,M. Night Shyamalan,Michael Fassbender,An intense Romance drama that keeps you on the edge of your seat.
Kick-Ass,Adventure,5.8,1986,Bryan Singer,Will Smith,"A gripping tale of adventure and mystery, following a Adventure journey like never before."
Paranormal Activity,Horror,6.3,1986,Francis Ford Coppola,Matt Damon,A blockbuster Horror masterpiece featuring a star-studded cast and breathtaking action sequences.
Lilo & Stitch,Thriller,5.0,1988,Christopher Nolan,Denzel Washington,A blockbuster Thriller masterpiece featuring a star-studded cast and breathtaking action sequences.
The Martian,Animation,9.1,1993,J.J. Abrams,Benedict Cumberbatch,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Harry Potter and the Prisoner of Azkaban,Fantasy,5.7,2001,Wes Anderson,Natalie Portman,A thought-provoking Fantasy film that challenges perceptions of reality.
Mulan,Animation,7.8,2003,George Lucas,Christian Bale,A mesmerizing Animation story that explores the depths of human emotions and resilience.
The Cabin in the Woods,Comedy,6.3,2014,Denis Villeneuve,Chris Hemsworth,A blockbuster Comedy masterpiece featuring a star-studded cast and breathtaking action sequences.
Life,Romance,7.9,1982,Stanley Kubrick,Joaquin Phoenix,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
Toy Story,Romance,5.5,2012,Zack Snyder,Benedict Cumberbatch,An intense Romance drama that keeps you on the edge of your seat.
The Irishman,Adventure,8.9,2020,Ridley Scott,Matt Damon,An intense Adventure drama that keeps you on the edge of your seat.
X-Men: Apocalypse,Adventure,8.7,1989,Guy Ritchie,Margot Robbie,A mesmerizing Adventure story that explores the depths of human emotions and resilience.
The Babadook,Drama,9.1,1986,Stanley Kubrick,Jennifer Lawrence,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
A Star Is Born,Animation,7.7,1995,Robert Zemeckis,Jake Gyllenhaal,A thought-provoking Animation film that challenges perceptions of reality.
Aladdin,Drama,8.6,2002,James Cameron,Christian Bale,"A thrilling mix of Drama and action, packed with stunning visuals and unforgettable moments."
Iron Man,Animation,5.0,1988,Ridley Scott,Daniel Day-Lewis,A mesmerizing Animation story that explores the depths of human emotions and resilience.
Independence Day,Drama,7.5,2000,Damien Chazelle,Michael Fassbender,A blockbuster Drama masterpiece featuring a star-studded cast and breathtaking action sequences.
World War Z,Sci-Fi,7.2,2002,Zack Snyder,Johnny Depp,An intense Sci-Fi drama that keeps you on the edge of your seat.
Angels & Demons,Romance,5.2,1995,Spike Lee,Christian Bale,A blockbuster Romance masterpiece featuring a star-studded cast and breathtaking action sequences.
2001: A Space Odyssey,Sci-Fi,6.1,2009,Stanley Kubrick,Emma Stone,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Moana,Romance,8.2,2016,M. Night Shyamalan,Michael Fassbender,"A classic tale of love, loss, and redemption, set in a Romance world of intrigue."
The Godfather,Fantasy,7.9,2012,Patty Jenkins,Charlize Theron,"A gripping tale of adventure and mystery, following a Fantasy journey like never before."
Ralph Breaks the Internet,Sci-Fi,5.1,1991,Jon Favreau,Joaquin Phoenix,"A thrilling mix of Sci-Fi and action, packed with stunning visuals and unforgettable moments."
Deadpool,Sci-Fi,7.7,2016,George Lucas,Margot Robbie,"A gripping tale of adventure and mystery, following a Sci-Fi journey like never before."
Inception,Horror,6.0,2018,Jon Favreau,Ryan Gosling,"A gripping tale of adventure and mystery, following a Horror journey like never before."
